Station, Latitude, Longitude
BrandonHall, 42.340072, -71.128526
SouthStreet, 42.33957728318422, -71.1577820777893
WashingtonSquare, 42.339339370998616, -71.13542318344116
TappanStreet, 42.33846701861673, -71.13879203796387
ChestnutHillAvenue, 42.338086351966545, -71.15334033966064
MuseumofFineArts, 42.33772154426439, -71.09547972679138
DeanRoad, 42.337705683011926, -71.1419677734375
EnglewoodAvenue, 42.337134675259264, -71.14512205123901
Ruggles, 42.335667478784956, -71.09052300453186
ClevelandCircle, 42.33589747400816, -71.15072250366211
LongwoodMedicalArea, 42.335837, -71.100652
Beaconsfield, 42.33596092081828, -71.14160299301147
Reservoir, 42.33493783319957, -71.14940285682678
BrighamCircle, 42.334097, -71.104996
FenwoodRoad, 42.33374817550522, -71.1055862903595
MissionPark, 42.33322471899058, -71.10707759857178
BrooklineVillage, 42.33204296023296, -71.11811757087708
BrooklineHills, 42.33121016387881, -71.12586379051208
Riverway, 42.33197950947023, -71.11207723617554
RoxburyCrossing, 42.33152742093294, -71.09540462493896
Andrew, 42.32955, -71.05696
BackOfTheHill, 42.3300759568237, -71.11133694648743
HeathStreet, 42.32875929920691, -71.11059665679932
JacksonSquare, 42.32273880877684, -71.10008239746094
JFK/UMass, 42.32143786294873, -71.05239272117615
StonyBrook, 42.319200807838655, -71.10282897949219
SavinHill, 42.311307017022905, -71.0532295703888
GreenStreet, 42.3105691548223, -71.10731363296509
ForestHills, 42.300362, -71.113411
FieldsCorner, 42.300261981850944, -71.06070756912231
Shawmut, 42.29279437686293, -71.06578230857849
Ashmont, 42.285924, -71.064219
CedarGrove, 42.27842011800629, -71.05974197387695
Milton, 42.270346553400415, -71.06794953346252
CentralAvenue, 42.270013109615185, -71.07324957847595
ValleyRoad, 42.267893318588435, -71.08306646347046
CapenStreet, 42.26756780129316, -71.08722925186157
Mattapan, 42.267456648661, -71.09313011169434
ChestnutHill, 42.338086351966545, -71.15334033966064
NewtonCenter, 42.32935417804916, -71.19231820106506
NewtonHighlands, 42.3216996407954, -71.20617985725403
Eliot, 42.319192874877594, -71.21691942214966
Waban, 42.326260746635725, -71.23117804527283
Woodland, 42.33368472646276, -71.24492168426514
Riverside, 42.337110883157045, -71.25173449516296
NorthQuincy, 42.27481611765017, -71.02917551994324
Wollaston, 42.26561466222263, -71.01940155029297
QuincyCenter, 42.250879, -71.004798
QuincyAdams, 42.23275157038817, -71.00714921951294
Braintree, 42.20878042409267, -71.00133419036865
Airport, 42.37273343268597, -71.03519439697266
Charles/MGH, 42.36127108986245, -71.07208013534546
St.PaulStreetB, 42.35117407125386, -71.11476505448644
St.PaulStreetC, 42.34322515730961, -71.11734509468079
FordhamRoad, 42.350564, -71.128047
NewEnglandMedicalCenter, 42.349873, -71.063795
GriggsStreet/LongwoodAvenue, 42.34871243015163, -71.13415718078613
Hynes/ICA, 42.348097, -71.088396
BackBay/SouthEnd, 42.34727722151564, -71.07603907585144
MountHoodRoad, 42.3423261226745, -71.14418165157828
SutherlandRoad, 42.34149640856349, -71.14662408828735
WinchesterStreet/SummitAv., 42.34128229417212, -71.12461924552917
GreycliffRoad, 42.34007160531, -71.16135876826196
FairbanksStreet, 42.33960900474095, -71.13134622573853
ButlerStreet, 42.27211695157111, -71.06276750564575
